;companyId;companyName;ticker;price;gestao;dy;percentualcaixa;numerocotistas;patrimonio;p_vp;liquidezmediadiaria;dividend_cagr;cota_cagr
155;26;BB Progressivo;BBFI11B;2500.0;Passiva;12.1826;8.1448;7928.0;329005032.61;0.9878;431796.07;1.5091;6.7003
156;80;Banrisul Novas Fronteiras;BNFS11;127.38;Ativa;9.512;4.8348;3392.0;72845514.53;1.224;42933.07;5.8096;4.2276
157;695;ESTOQUE RESIDENCIAL E COMERCIAL RJ;ERCR11;77550.0;Passiva;5.7903;0.0502;10.0;196172390.82;0.9393;4577773.86;;
158;528;EUROPA 105 - FDO INV IMOB;ERPA11;140.0;Passiva;0.0;0.0902;12.0;53131812.62;1.3072;140.0;;
159;81;Brasil Plural Absoluto Fundo de Fundos;BPFF11;76.49;Ativa;8.4848;7.8381;20410.0;363414679.16;0.9455;837126.32;-5.2098;-5.3334
160;532;FDO INV IMOB BTG PACTUAL SHOPPINGS;BPML11;85.5;Ativa;1.3866;5.8323;1273.0;571062941.36;0.6446;156016.12;;
161;529;FDO INV IMOB - FII BRLPROP;BPRP11;113.0;Passiva;8.1873;0.0716;195.0;145791576.89;1.0462;25728.67;;
162;525;BRESCO LOGÍSTICA - FDO INV IMOB;BRCO11;107.0;Ativa;6.1215;2.3992;38383.0;1602620953.09;0.9867;4325908.73;;
163;1;BTG Pactual Corporate Office;BRCR11;81.36;Ativa;6.947;1.0343;127422.0;2872016394.48;0.7546;2705753.1;-27.8802;-2.8746
164;73;BR Hotéis;BRHT11B;86.8;--;0.0;0.894;11.0;151702598.74;1.0538;;;
165;623;GALAPAGOS FDO DE FDO - FII FDO INV. IMOB.;GCFF11;88.0;Ativa;10.6023;2.5501;1543.0;31517178.39;0.9454;96196.78;;
166;711;GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS;GCRI11;100.6;Ativa;5.9145;1.5862;330.0;87271038.43;0.992;133632.02;;
167;662;BB FUNDO DE FUNDOS;BBFO11;83.01;Passiva;3.4936;1.2344;3807.0;360330864.4;0.9224;112610.12;;
168;2;Brazilian Graveyard and Death Care;CARE11;0.72;Ativa;1.7471;1.407;12159.0;288226960.59;0.4472;337418.71;;-23.3691
169;664;HEDGE AAA;HAAA11;100.0;Ativa;4.25;1.2695;116.0;260387708.16;1.0408;42411.48;;
170;539;HABITAT II - FDO INV IMOB;HABT11;130.35;Ativa;13.1569;24.554;30038.0;536446500.11;1.3151;3331189.07;;
171;86;Habitat I;HBTT11;1055.0;Ativa;3.6569;;0.0;0.0;;37746.53;;
172;654;HECTARE DESENV. STUDENT HOUSING;HCST11;96.15;Ativa;0.0;15.8368;94.0;30376698.79;0.9083;1869.28;;
173;28;CIDADE JARDIM CONTINENAL TOWER;CJCT11;59.99;Passiva;0.0;0.9441;1538.0;182458042.21;0.891;350388.87;;10.0581
174;32;CENESP;CNES11;39.9;Passiva;5.1908;5.6531;2472.0;257410582.39;0.4571;18923.95;7.7449;-20.3629
175;138;Hedge Top FOFII 3;HFOF11;93.4;Ativa;7.2912;4.9299;67399.0;2158210256.54;0.9943;2994787.15;-11.6953;-0.0357
176;111;CSHG Brasil Shopping;HGBS11;200.1;Ativa;2.8536;0.3956;81789.0;2131346004.67;0.9389;1696252.59;-30.2681;0.2225
177;27;BB Progressivo II;BBPO11;115.46;Passiva;11.2277;4.8907;65692.0;1531018537.44;1.2006;1703596.85;1.8926;-4.1193
178;744;CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO;CORM11;113.0;Ativa;3.1858;4.899;91.0;90158410.27;1.1497;485760.58;;
179;47;CSHG Real Estate;HGRE11;141.24;Ativa;6.3509;2.1994;112225.0;1993908332.77;0.8371;2874169.2;0.3367;5.4392
180;8;CSHG Renda Urbana;HGRU11;120.49;Ativa;7.0047;0.8349;135358.0;2163884197.45;1.0249;5069670.59;0.7212;4.6605
